UserName,Password,First Name,Surname,UserType,LoginStatus
ZaiJil,Tree,Zairul,Jilani,Lecturer,Active
RizRash,Sky,Rizwana,Rashad,Student,Active
JunHue,Grass,Jung,Hue,Student,Active
BenSmi,Smile,Ben,Smith,Lecturer,Active
SarKha,King,Sarah,Khan,Student,Active
CraFer,Friend,Craig,Fern,Student,Blocked
GreOwl,Flight,Greg,Owler,Lecturer,Active
HanPao,Summer,Hannah,Paole,Student,Active
CriSte,Winter,Christine,Stem,Student,Active
EmiCar,Autumn,Emily,Carter,Student,Active
JulTra,Spring,Julian,Travis,Lecturer,Active
FreGre,Height,Fred,Green,Lecturer,Blocked
AmbAsi,Sheffield,Amber,Asim,Student,Active
RobFra,London,Robin,Fraser,Student,Active
FraSmi,Burton,Francis,Smith,Lecturer,Active
AdaMoh,Crawl,Adam,Mohammed,Student,Active
SamSen,Young,Samantha,Senior,Student,Active
BabAsl,French,Babak,Aslam,Lecturer,Active
AmiHop,Hopper,Amilia,Hope,Student,Active
BobAli,Bobble,Bob,Ali,Student,Active
